lat,lon,ALLSKY_SFC_SW_DWN
-89.5,-179.5,127.3984375
-89.5,-178.5,127.3984375
-89.5,-177.5,127.3984375
-89.5,-176.5,127.3984375
-89.5,-175.5,127.3984375
-89.5,-174.5,127.3984375
-89.5,-173.5,127.3984375
-89.5,-172.5,127.3984375
-89.5,-171.5,127.3984375
-89.5,-170.5,127.3984375
-89.5,-169.5,127.3984375
-89.5,-168.5,127.3984375
-89.5,-167.5,127.3984375
-89.5,-166.5,127.3984375
-89.5,-165.5,127.3984375
-89.5,-164.5,127.3984375
-89.5,-163.5,127.3984375
-89.5,-162.5,127.3984375
-89.5,-161.5,127.3984375
-89.5,-160.5,127.3984375
-89.5,-159.5,127.3984375
-89.5,-158.5,127.3984375
-89.5,-157.5,127.3984375
-89.5,-156.5,127.3984375
-89.5,-155.5,127.3984375
-89.5,-154.5,127.3984375
-89.5,-153.5,127.3984375
-89.5,-152.5,127.3984375
-89.5,-151.5,127.3984375
-89.5,-150.5,127.3984375
-89.5,-149.5,127.3984375
-89.5,-148.5,127.3984375
-89.5,-147.5,127.3984375
-89.5,-146.5,127.3984375
-89.5,-145.5,127.3984375
-89.5,-144.5,127.3984375
-89.5,-143.5,127.3984375
-89.5,-142.5,127.3984375
-89.5,-141.5,127.3984375
-89.5,-140.5,127.3984375
-89.5,-139.5,127.3984375
-89.5,-138.5,127.3984375
-89.5,-137.5,127.3984375
-89.5,-136.5,127.3984375
-89.5,-135.5,127.3984375
-89.5,-134.5,127.3984375
-89.5,-133.5,127.3984375
-89.5,-132.5,127.3984375
-89.5,-131.5,127.3984375
-89.5,-130.5,127.3984375
-89.5,-129.5,127.3984375
-89.5,-128.5,127.3984375
-89.5,-127.5,127.3984375
-89.5,-126.5,127.3984375
-89.5,-125.5,127.3984375
-89.5,-124.5,127.3984375
-89.5,-123.5,127.3984375
-89.5,-122.5,127.3984375
-89.5,-121.5,127.3984375
-89.5,-120.5,127.3984375
-89.5,-119.5,127.3984375
-89.5,-118.5,127.3984375
-89.5,-117.5,127.3984375
-89.5,-116.5,127.3984375
-89.5,-115.5,127.3984375
-89.5,-114.5,127.3984375
-89.5,-113.5,127.3984375
-89.5,-112.5,127.3984375
-89.5,-111.5,127.3984375
-89.5,-110.5,127.3984375
-89.5,-109.5,127.3984375
-89.5,-108.5,127.3984375
-89.5,-107.5,127.3984375
-89.5,-106.5,127.3984375
-89.5,-105.5,127.3984375
-89.5,-104.5,127.3984375
-89.5,-103.5,127.3984375
-89.5,-102.5,127.3984375
-89.5,-101.5,127.3984375
-89.5,-100.5,127.3984375
-89.5,-99.5,127.3984375
-89.5,-98.5,127.3984375
-89.5,-97.5,127.3984375
-89.5,-96.5,127.3984375
-89.5,-95.5,127.3984375
-89.5,-94.5,127.3984375
-89.5,-93.5,127.3984375
-89.5,-92.5,127.3984375
-89.5,-91.5,127.3984375
-89.5,-90.5,127.3984375
-89.5,-89.5,127.3984375
-89.5,-88.5,127.3984375
-89.5,-87.5,127.3984375
-89.5,-86.5,127.3984375
-89.5,-85.5,127.3984375
-89.5,-84.5,127.3984375
-89.5,-83.5,127.3984375
-89.5,-82.5,127.3984375
-89.5,-81.5,127.3984375
-89.5,-80.5,127.3984375
-89.5,-79.5,127.3984375
-89.5,-78.5,127.3984375
-89.5,-77.5,127.3984375
-89.5,-76.5,127.3984375
-89.5,-75.5,127.3984375
-89.5,-74.5,127.3984375
-89.5,-73.5,127.3984375
